Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"D1","D","D3_SMD_v2",-139.130000,59.373125,90.000000,bottom
"D2","D","D3_SMD_v2",-120.130000,59.370000,90.000000,bottom
"D3","D","D3_SMD_v2",-101.157000,64.370000,90.000000,bottom
"D4","D","D3_SMD_v2",-82.157000,66.495000,90.000000,bottom
"D5","D","D3_SMD_v2",-63.157000,64.120000,90.000000,bottom
"D6","D","D3_SMD_v2",-44.157000,61.745000,90.000000,bottom
"D7","D","D3_SMD_v2",-139.130000,40.373125,90.000000,bottom
"D8","D","D3_SMD_v2",-120.130000,40.370000,90.000000,bottom
"D9","D","D3_SMD_v2",-101.157000,45.120000,90.000000,bottom
"D10","D","D3_SMD_v2",-82.157000,47.495000,90.000000,bottom
"D11","D","D3_SMD_v2",-63.157000,45.120000,90.000000,bottom
"D12","D","D3_SMD_v2",-44.157000,43.253000,90.000000,bottom
"D13","D","D3_SMD_v2",-139.130000,21.373125,90.000000,bottom
"D14","D","D3_SMD_v2",-120.130000,21.370000,90.000000,bottom
"D15","D","D3_SMD_v2",-101.157000,26.120000,90.000000,bottom
"D16","D","D3_SMD_v2",-82.157000,28.495000,90.000000,bottom
"D17","D","D3_SMD_v2",-63.157000,26.120000,90.000000,bottom
"D18","D","D3_SMD_v2",-44.157000,23.745000,90.000000,bottom
"D19","D","D3_SMD_v2",-66.788500,9.806000,90.000000,bottom
"D20","D","D3_SMD_v2",-55.612500,-10.514000,270.000000,bottom
"D21","D","D3_SMD_v2",-46.468500,7.520000,90.000000,bottom
"D22","D","D3_SMD_v2",117.350000,59.375000,90.000000,bottom
"D23","D","D3_SMD_v2",98.350000,59.375000,90.000000,bottom
"D24","D","D3_SMD_v2",79.350000,64.125000,90.000000,bottom
"D25","D","D3_SMD_v2",60.350000,66.500000,90.000000,bottom
"D26","D","D3_SMD_v2",41.350000,64.125000,90.000000,bottom
"D27","D","D3_SMD_v2",22.343000,61.745000,90.000000,bottom
"D28","D","D3_SMD_v2",117.350000,40.525000,90.000000,bottom
"D29","D","D3_SMD_v2",98.350000,40.375000,90.000000,bottom
"D30","D","D3_SMD_v2",79.350000,45.125000,90.000000,bottom
"D31","D","D3_SMD_v2",60.350000,47.500000,90.000000,bottom
"D32","D","D3_SMD_v2",41.350000,45.125000,90.000000,bottom
"D33","D","D3_SMD_v2",22.343000,42.745000,90.000000,bottom
"D34","D","D3_SMD_v2",117.350000,21.375000,90.000000,bottom
"D35","D","D3_SMD_v2",98.350000,21.375000,90.000000,bottom
"D36","D","D3_SMD_v2",79.350000,26.125000,90.000000,bottom
"D37","D","D3_SMD_v2",60.350000,28.500000,90.000000,bottom
"D38","D","D3_SMD_v2",41.350000,26.125000,90.000000,bottom
"D39","D","D3_SMD_v2",22.343000,23.745000,90.000000,bottom
"D40","D","D3_SMD_v2",29.477500,9.044000,90.000000,bottom
"D41","D","D3_SMD_v2",28.969500,-6.196000,90.000000,bottom
"D42","D","D3_SMD_v2",26.937500,-6.196000,90.000000,bottom
"D43","D","D3_SMD_v2",-138.416500,2.443000,90.000000,bottom
"D44","D","D3_SMD_v2",-115.048500,2.443000,90.000000,bottom
"D45","D","D3_SMD_v2",-86.346500,5.999000,90.000000,bottom
"D46","D","D3_SMD_v2",112.535500,2.437000,90.000000,bottom
"D47","D","D3_SMD_v2",93.485500,2.440000,90.000000,bottom
"D48","D","D3_SMD_v2",64.820000,7.023000,90.000000,bottom
"LED1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-127.757000,49.870000,180.000000,bottom
"LED2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-89.757000,56.995000,180.000000,bottom
"LED3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.757000,52.245000,180.000000,bottom
"LED4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-127.757000,30.870000,180.000000,bottom
"LED5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-89.757000,18.995000,180.000000,bottom
"LED6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.757000,14.245000,180.000000,bottom
"LED28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.743000,49.870000,180.000000,bottom
"LED29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.743000,56.995000,180.000000,bottom
"LED30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",14.743000,52.245000,180.000000,bottom
"LED31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.743000,30.870000,180.000000,bottom
"LED32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.743000,18.995000,180.000000,bottom
"LED33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",14.743000,14.245000,180.000000,bottom
